id,name,team,position,price,form,ppg,ownership,minutes_pct,ict_index,bonus,xgi_per90,fdr,fixture_ease,status,score
312,Y.Chermiti,EVE,FWD,4.9,0.0,0.0,0.1,0.0,0.0,0,0.0,1,5,u,10.5
667,Aznou,EVE,DEF,4.2,0.0,0.0,0.1,0.0,0.0,0,0.0,1,5,a,10.5
779,Graham,EVE,FWD,4.5,0.0,0.0,0.0,0.0,0.0,0,0.0,1,5,a,10.5
659,Walker-Peters,WHU,DEF,4.2,0.4,1.8,0.2,0.37857142857142856,39.0,0,0.13,3,3,a,10.4
352,Harrison,LEE,MID,5.1,0.0,1.1,0.0,0.10396825396825397,11.5,0,0.18,2,4,u,10.4
572,Dragusin,TOT,DEF,4.5,1.2,1.3,0.0,0.13253968253968254,10.0,0,0.05,3,3,a,10.3
631,Agbadou,WOL,DEF,4.2,0.5,1.6,0.1,0.4365079365079365,46.4,0,0.08,3,3,u,10.3
320,Diop,FUL,DEF,4.3,0.0,1.2,0.1,0.1634920634920635,8.5,0,0.01,2,4,a,10.2
494,Willock,NEW,MID,5.0,1.0,1.2,0.1,0.21706349206349207,22.3,0,0.19,3,3,a,10.2
444,Yoro,MUN,DEF,4.1,1.6,1.8,1.2,0.49444444444444446,36.4,1,0.07,4,2,a,10.2
511,Morato,NFO,DEF,4.3,2.4,2.4,0.1,0.37182539682539684,30.5,1,0.09,5,1,a,10.1
233,Acheampong,CHE,DEF,3.7,0.4,2.8,1.6,0.225,23.1,5,0.12,4,2,a,9.8
168,Buonanotte,LEE,MID,4.6,0.2,0.7,0.1,0.02738095238095238,5.0,0,0.18,2,4,a,9.8
608,Scarles,WHU,DEF,4.3,0.4,1.8,0.0,0.25952380952380955,23.2,0,0.06,3,3,a,9.8
49,Bailey,AVL,MID,5.5,1.0,1.0,0.1,0.0873015873015873,16.9,0,0.36,3,3,a,9.8
195,Lucas Pires,BUR,DEF,3.8,0.6,1.3,0.3,0.3952380952380952,39.1,0,0.14,3,3,a,9.7
263,Clyne,CRY,DEF,3.8,0.0,2.0,0.6,0.16587301587301587,15.1,2,0.21,3,3,a,9.6
181,Kostoulas,BHA,FWD,4.8,0.8,1.9,0.4,0.11587301587301588,40.1,3,0.59,4,2,a,9.6
346,Byram,LEE,DEF,3.8,0.0,1.0,0.2,0.002777777777777778,0.0,0,0.0,2,4,a,9.5
570,Danso,TOT,DEF,4.2,0.0,2.1,0.1,0.2611111111111111,21.2,1,0.02,3,3,a,9.5
466,Zirkzee,MUN,FWD,5.8,0.4,2.2,0.4,0.19523809523809524,44.1,6,0.39,4,2,a,9.5
682,Møller Wolfe,WOL,DEF,4.2,0.5,1.4,0.1,0.30198412698412697,28.9,0,0.14,3,3,a,9.4
737,Kusi-Asare,FUL,FWD,4.5,0.0,0.8,0.1,0.011904761904761904,2.1,0,0.21,2,4,a,9.4
276,Devenny,CRY,MID,4.3,0.0,1.6,1.3,0.23531746031746031,34.5,0,0.41,3,3,a,9.3
128,Onyeka,BRE,MID,4.8,0.0,2.0,0.0,0.03492063492063492,4.6,0,0.37,3,3,u,9.3
33,M.Bizot,AVL,GK,4.2,0.0,2.2,0.4,0.16071428571428573,9.3,0,0.0,3,3,a,9.2
197,Sonne,BUR,DEF,3.8,0.0,1.9,0.2,0.06507936507936508,9.2,0,0.34,3,3,u,9.1
526,Igor Jesus,NFO,FWD,5.8,1.2,2.3,1.2,0.596031746031746,72.3,6,0.3,5,1,a,9.1
719,Lindelöf,AVL,DEF,4.5,0.2,1.8,0.1,0.22698412698412698,16.0,0,0.01,3,3,a,9.0
627,Johnstone,WOL,GK,4.4,0.0,1.8,0.1,0.42857142857142855,30.8,0,0.0,3,3,a,8.8
170,Milner,BHA,MID,4.9,1.2,1.7,0.1,0.18412698412698414,27.5,0,0.3,4,2,a,8.8
326,Adama,WHU,MID,5.1,0.6,1.1,0.2,0.11349206349206349,14.3,0,0.28,3,3,a,8.8
805,Lucca,NFO,FWD,5.5,1.6,2.7,0.0,0.04722222222222222,7.9,0,0.55,5,1,a,8.7
167,Baleba,BHA,MID,4.5,1.4,1.7,1.5,0.46825396825396826,20.6,0,0.05,4,2,a,8.7
625,Füllkrug,WHU,FWD,5.6,0.0,1.5,0.6,0.16150793650793652,23.8,0,0.26,3,3,u,8.4
27,Nelson,BRE,MID,4.8,0.0,1.0,0.1,0.01984126984126984,3.4,0,1.23,3,3,a,8.4
218,Barnes,BUR,FWD,4.2,0.4,1.0,1.5,0.006349206349206349,0.8,0,0.62,3,3,a,8.3
732,Uche,CRY,FWD,5.5,0.4,1.2,0.1,0.05952380952380952,8.0,0,0.24,3,3,a,8.2
232,Tosin,CHE,DEF,4.0,0.2,2.6,0.3,0.2853174603174603,27.3,2,0.06,4,2,a,8.2
152,Veltman,BHA,DEF,4.3,0.6,2.1,0.1,0.32063492063492066,34.7,1,0.12,4,2,a,8.2
246,Andrey Santos,CHE,MID,4.5,1.2,1.4,0.3,0.35119047619047616,33.2,0,0.25,4,2,a,8.1
130,Donovan,BRE,MID,4.4,0.6,1.0,0.1,0.01507936507936508,3.5,0,0.23,3,3,a,8.1
